csv_scheddate,sc_code,VisitCount
1/2/17,CNA11H,947
1/2/17,RN11H,463
1/2/17,IPCNA11HAM,93
1/2/17,SW11H,92
1/2/17,IPCNA11HPM,77
1/2/17,CH11H,57
1/2/17,RN70H,57
1/2/17,SNOCH,56
1/2/17,EMERG-PREP,50
1/2/17,IPSN09HPM,50
1/2/17,IPSN09HAM,49
1/2/17,IPRN11HAM,47
1/2/17,SNIH,45
1/2/17,RN09H,40
1/2/17,MU11H,38
1/2/17,RN02H,38
1/2/17,IPRN11HPM,35
1/2/17,CNA11HN,32
1/2/17,RN00H,24
1/2/17,VOL75HC,22
1/2/17,HLIH,19
1/2/17,LPN70HAM,18
1/2/17,AGLPN70HPM,17
1/2/17,SN09H,16
1/2/17,IPRN08H,15
1/2/17,IPEMERPREP,13
1/2/17,RN08H,12
1/2/17,LPN09H,11
1/2/17,VOL75HR,9
1/2/17,IPSW01H,9
1/2/17,AGLPN70HAM,8
1/2/17,VOL75HP,8
1/2/17,IPCH01H,8
1/2/17,SN96H,8
1/2/17,LPN70HPM,7
1/2/17,LPN88H,6
1/2/17,SN70HAM,6
1/2/17,SN48H,6
1/2/17,IPSN88H,6
1/2/17,PT11H,5
1/2/17,SN70HPM,5
1/2/17,IPSN48H,4
1/2/17,SW01H,3
1/2/17,CB05H,3
1/2/17,IPSW11H,2
1/2/17,SNPLHN,2
1/2/17,PTA11,2
1/2/17,SW88H,1
1/2/17,CH11HP,1
1/2/17,NP-HF2F,1
1/2/17,RECERT,1
1/2/17,MU01H,1
1/2/17,RN88H,1
1/2/17,CH01H,1
1/2/17,VOL75HE,1
1/2/17,IPSN96H,1
1/2/17,SW11HP,1
1/3/17,CNA11H,968
1/3/17,RN11H,827
1/3/17,SW11H,201
1/3/17,CH11H,107
1/3/17,IPCNA11HAM,90
1/3/17,EMERG-PREP,90
1/3/17,RN02H,81
1/3/17,IPCNA11HPM,71
1/3/17,MU11H,68
1/3/17,SNIH,62
1/3/17,IPSN09HPM,52
1/3/17,IPRN11HAM,49
1/3/17,SNOCH,49
1/3/17,SW01H,46
1/3/17,CH01H,44
1/3/17,RN00H,41
1/3/17,IPSN09HAM,41
1/3/17,VOL75HC,40
1/3/17,IPCH01H,38
1/3/17,IPRN11HPM,35
1/3/17,CNA11HN,34
1/3/17,RN70H,33
1/3/17,HLIH,31
1/3/17,RN09H,30
1/3/17,NP-HF2F,30
1/3/17,IPSW01H,28
1/3/17,LPN70HAM,17
1/3/17,AGLPN70HPM,17
1/3/17,MU01H,17
1/3/17,SW11HP,15
1/3/17,IPSW11H,15
1/3/17,LPN70HPM,13
1/3/17,RN08H,12
1/3/17,LPN09H,12
1/3/17,AGLPN70HAM,11
1/3/17,IPRN08H,11
1/3/17,IPEMERPREP,10
1/3/17,VOL75HR,10
1/3/17,BE72H,10
1/3/17,SNPLHN,10
1/3/17,SN96H,9
1/3/17,IPSN88H,8
1/3/17,IPCH11H,7
1/3/17,LPN88H,7
1/3/17,SN70HPM,7
1/3/17,IPSN48H,7
1/3/17,RN11,7
1/3/17,VOL75HP,6
1/3/17,CH11HP,5
1/3/17,RN88H,5
1/3/17,SN09H,5
1/3/17,IPSN96H,4
1/3/17,SN48H,3
1/3/17,VOL-ASSIGN,3
1/3/17,CB05H,3
1/3/17,VOL75HE,3
1/3/17,RN18,3
1/3/17,SN70HAM,3
1/3/17,RN18H,2
1/3/17,BE72HA,2
1/3/17,RN00,1
1/3/17,VOL75VA,1
1/3/17,SN94H,1
1/3/17,LPN18H,1
1/3/17,CH72H,1
1/3/17,PTA11,1
1/3/17,RN44,1
1/3/17,CNAHHHN,1
1/3/17,SN95H,1
1/4/17,CNA11H,977
1/4/17,RN11H,794
1/4/17,SW11H,249
1/4/17,CH11H,116
1/4/17,EMERG-PREP,94
1/4/17,MU11H,80
1/4/17,IPCNA11HAM,79
1/4/17,RN02H,76
1/4/17,IPCNA11HPM,76
1/4/17,SNIH,70
1/4/17,SNOCH,53
1/4/17,RN70H,49
1/4/17,IPSN09HPM,49
1/4/17,HLIH,47
1/4/17,CH01H,45
1/4/17,IPRN11HAM,45
1/4/17,VOL75HC,44
1/4/17,IPSN09HAM,42
1/4/17,RN09H,42
1/4/17,SW01H,41
1/4/17,RN00H,38
1/4/17,IPRN11HPM,37
1/4/17,CNA11HN,28
1/4/17,LPN09H,27
1/4/17,RN08H,26
1/4/17,IPCH01H,23
1/4/17,IPSW01H,22
1/4/17,NP-HF2F,18
1/4/17,AGLPN70HPM,16
1/4/17,LPN70HAM,16
1/4/17,MU01H,15
1/4/17,IPSW11H,15
1/4/17,IPSN88H,14
1/4/17,SN70HPM,14
1/4/17,IPRN08H,13
1/4/17,AGLPN70HAM,12
1/4/17,LPN70HPM,11
1/4/17,BE72H,11
1/4/17,IPEMERPREP,10
1/4/17,SW11HP,10
1/4/17,IPCH11H,10
1/4/17,RN11,7
1/4/17,VOL75HR,7
1/4/17,CH11HP,7
